movieId,imdbId,tmdbId,title,genres,budget,revenue,production_companies,production_countries,popularity,vote_count,vote_average
93,0114825,12158,Vampire in Brooklyn (1995),Comedy|Horror|Romance,14000000,19800000,Paramount,United States of America,5.363,196,4.7
94,0115639,9283,Beautiful Girls (1996),Comedy|Drama|Romance,0,0,Woods Entertainment|Miramax,United States of America,7.304,169,6.8
95,0115759,9208,Broken Arrow (1996),Action|Adventure|Thriller,50000000,150270147,WCG Entertainment Productions|20th Century Fox|The Mark Gordon Company,United States of America,9.205,653,5.9
96,0113403,40154,In the Bleak Midwinter (1995),Comedy|Drama,0,0,Midwinter Films|Castle Rock Entertainment,United Kingdom,1.236,12,7.5
97,0113247,406,"Hate (Haine, La) (1995)",Crime|Drama,2600000,15300000,Studio Image|Cofinergie 6|Egg Pictures|Kasso Inc. Productions|La Sept Cinéma|Les Productions Lazennec|PolyGram Filmed Entertainment|Canal+,France,9.53,1275,8.0
98,0111173,45549,Shopping (1994),Action|Thriller,0,0,Channel Four Films,United Kingdom,2.12,18,6.1
99,0113283,63076,Heidi Fleiss: Hollywood Madam (1995),Documentary,0,0,British Broadcasting Corporation|CBC|Cinemax Reel Life|InPictures|Lafayette Films|Westdeutscher Rundfunk (WDR),United Kingdom|Canada|United States of America|Germany,1.093,5,7.4
100,0115907,11062,City Hall (1996),Drama|Thriller,0,0,Columbia Pictures|Castle Rock Entertainment,United States of America,6.716,103,6.1
101,0115734,13685,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,7000000,560069,Boyle-Taylor Productions|Gracie Films|Indian Paintbrush|Columbia Pictures,United States of America,6.482,426,6.7
102,0117102,47475,Mr. Wrong (1996),Comedy,0,0,Touchstone Pictures,United States of America,1.748,25,3.9
103,0118040,2045,Unforgettable (1996),Mystery|Sci-Fi|Thriller,18000000,0,Dino De Laurentiis Company|Spelling Films|Metro-Goldwyn-Mayer,United States of America,4.169,40,5.6
104,0116483,9614,Happy Gilmore (1996),Comedy,10000000,0,Universal Pictures|Brillstein-Grey Entertainment|Robert Simonds Productions,United States of America,10.881,1187,6.5
105,0112579,688,"Bridges of Madison County, The (1995)",Drama|Romance,24000000,182016617,Amblin Entertainment|Malpaso Productions|Warner Bros. Pictures,United States of America,7.906,714,7.5
106,0110251,11907,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,0,0,,Germany,1.342,7,4.9
107,0117110,10874,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,0,34327391,Walt Disney Pictures|Jim Henson Productions|The Jim Henson Company,United States of America,6.108,151,6.4
108,0112646,89333,Catwalk (1996),Documentary,0,0,,,0.6,2,7.0
109,0113276,96357,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,0,0,,,0.6,0,0.0
110,0112573,197,Braveheart (1995),Action|Drama|War,72000000,210000000,Icon Entertainment International|The Ladd Company|B.H. Finance C.V.,United States of America,16.792,5091,7.8
111,0075314,103,Taxi Driver (1976),Crime|Drama|Thriller,1300000,28262574,Italo/Judeo Productions|Bill/Phillips|Columbia Pictures,United States of America,18.19,4667,8.1
112,0113326,33542,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,7500000,32392047,New Line Cinema|Golden Harvest Company,Hong Kong,9.595,372,6.6
113,0115645,43566,Before and After (1996),Drama|Mystery,35000000,0,Hollywood Pictures|Caravan Pictures,United States of America,4.331,72,6.1
114,0113774,71754,Margaret's Museum (1995),Drama,0,0,imX Communications|Téléfilm Canada|Skyline Films|Malofilm|Société de Développement des Entreprises Culturelles (SODEC)|British Screen Productions|Glace Bay Pictures|Ciné Télé Action|Nova Scotia Film Development Corporation|Ranfilm|National Film Board of Canada,Canada|United Kingdom,0.681,3,6.3
115,0112556,43612,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,13365000,0,Téléma Productions|StudioCanal|Les Productions du Champ Poirier|France 3 Cinéma|France 2 Cinéma,France,2.962,57,7.1
116,0112373,51352,Anne Frank Remembered (1995),Documentary,0,1,Sony Pictures Classics,Netherlands|United Kingdom|United States of America,1.338,7,8.4
117,0115033,16934,"Young Poisoner's Handbook, The (1995)",Crime|Drama,0,0,Bavaria Film and Television Fund|Eurimages|British Screen Productions|Haut et Court|Kinowelt Filmproduktion|Mass Productions|Pandora Cinema,France|Germany|United Kingdom,2.768,27,7.1
118,0116606,10324,If Lucy Fell (1996),Comedy|Romance,0,0,TriStar Pictures|Motion Picture Corporation of America,United States of America,2.015,21,4.8
119,0114536,78406,"Steal Big, Steal Little (1995)",Comedy,25000000,6278139,Savoy Pictures,United States of America,1.523,11,4.5
120,0117427,55731,Race the Sun (1996),Adventure|Comedy|Drama,0,0,TriStar Pictures,United States of America,2.169,30,5.3
121,0106473,32119,"Boys of St. Vincent, The (1992)",Drama,0,0,,Canada,1.4,6,8.2
122,0103859,11066,Boomerang (1992),Comedy|Romance,40000000,70100000,Paramount,United States of America,7.48,220,5.4
123,0109424,11104,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,0,0,Jet Tone Production,Hong Kong,12.282,420,8.0
124,0114808,37975,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,0,0,Cecchi Gori Group Tiger Cinematografica,Italy,4.506,52,7.0
125,0116324,2074,Flirting With Disaster (1996),Comedy,7000000,14702438,Miramax,United States of America,4.776,97,6.3
126,0110647,27793,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,17000000,0,Studio Babelsberg|Dieter Geissler Filmproduktion|Cinevox Filmproduktion GmbH|Warner Bros. Pictures|Miramax,Germany|United States of America,6.925,162,4.3
127,0111055,44284,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,0,0,Canal+ Horizons|Mat Films|Cinétéléfilms,Tunisia|France,1.632,6,6.7
128,0110217,290157,Jupiter's Wife (1994),Documentary,0,0,,,0.621,1,8.0
129,0114131,110972,Pie in the Sky (1996),Comedy|Romance,0,0,,,1.457,6,6.5
130,0112364,32622,Angela (1995),Drama,0,0,Tree Farm Productions,United States of America,1.739,10,5.5
131,0113107,73067,Frankie Starlight (1995),Drama|Romance,0,0,Channel Four Films|Bórd Scannán na hÉireann|Fine Line Features|Canal+,United Kingdom|United States of America|France|Ireland,0.849,5,5.7
132,0113451,11863,Jade (1995),Thriller,50000000,9851610,Paramount,United States of America,5.019,78,5.2
133,0114015,55475,Nueba Yol (1995),Comedy|Drama,0,0,Cigua Films|D'Pelicula,Dominican Republic,1.121,1,5.5
134,0114500,124636,Sonic Outlaws (1995),Documentary,0,0,,United States of America,1.371,1,8.0
135,0116130,9101,Down Periscope (1996),Comedy,0,0,20th Century Fox,United States of America,7.217,145,5.8
136,0113125,123360,From the Journals of Jean Seberg (1995),Documentary,0,0,Couch Potatoe Productions,United States of America,0.6,2,6.5
137,0113756,5757,Man of the Year (1995),Documentary,0,209935,,United States of America,0.918,2,3.8
138,0113952,39428,"Neon Bible, The (1995)",Drama,0,0,Mayfair Films|Academy|Channel Four Films|Iberoamerica Films,United Kingdom,1.371,7,6.6
139,0114618,124639,Target (1995),Action|Drama,0,0,,,0.6,0,0.0
140,0118055,9302,Up Close and Personal (1996),Drama|Romance,60000000,0,Cinergi Pictures Entertainment|Touchstone Pictures,United States of America,6.092,88,6.1
141,0115685,11000,"Birdcage, The (1996)",Comedy,31000000,185260553,United Artists,United States of America,8.333,483,7.0
143,0113200,249882,Gospa (1995),Drama,0,0,IPI International|Wayne Films|Marjan Film|Jadran Film,Croatia|Canada|United States of America,0.6,2,7.0
144,0112585,16388,"Brothers McMullen, The (1995)",Comedy,0,0,Fox Searchlight Pictures,United States of America,2.802,37,6.0
145,0112442,9737,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,19000000,141407024,Columbia Pictures|Don Simpson/Jerry Bruckheimer Films,United States of America,13.155,2693,6.6
146,0112342,30765,"Amazing Panda Adventure, The (1995)",Adventure|Children,0,0,Warner Bros. Pictures,United States of America,2.632,39,5.4
147,0112461,10474,"Basketball Diaries, The (1995)",Drama,0,0,New Line Cinema|Island Pictures,United States of America,9.111,770,7.3
148,0112427,22279,"Awfully Big Adventure, An (1995)",Drama,4000000,851545,Fine Line Features|British Screen Productions|Portman Productions|British Broadcasting Corporation,United Kingdom,2.541,16,6.5
149,0109093,30157,Amateur (1994),Crime|Drama|Thriller,0,0,Zenith Entertainment|Channel Four Films|American Playhouse|La Sept Cinéma|True Fiction Pictures|Union Générale Cinématographique (UGC)|Sony Pictures Classics,France|United Kingdom|United States of America,1.718,27,6.5
150,0112384,568,Apollo 13 (1995),Adventure|Drama|IMAX,52000000,355237933,Imagine Entertainment|Universal Pictures,United States of America,13.369,2576,7.4
151,0114287,11780,Rob Roy (1995),Action|Drama|Romance|War,28000000,31596911,Talisman Productions|United Artists,United Kingdom|United States of America,7.984,245,6.7
152,0112288,34996,"Addiction, The (1995)",Drama|Horror,0,0,October Films|Fastnet Films|Guild,United States of America,4.796,79,6.4
153,0112462,414,Batman Forever (1995),Action|Adventure|Comedy|Crime,100000000,336529144,DC Comics|Polygram Filmed Entertainment|Warner Bros. Pictures,United Kingdom|United States of America,12.702,2523,5.3
154,0061395,649,Beauty of the Day (Belle de jour) (1967),Drama,0,0,Paris Films Productions|Five Films|Robert et Raymond Hakim,France|Italy,8.222,277,7.5
155,0112495,1873,Beyond Rangoon (1995),Adventure|Drama|War,0,0,Castle Rock Entertainment|Columbia Pictures,,2.107,30,6.8
156,0112541,5894,Blue in the Face (1995),Comedy|Drama,2000000,1275000,InterAL|Miramax,United States of America,4.081,50,6.8
157,0109370,1775,Canadian Bacon (1995),Comedy|War,11000000,178104,PolyGram Filmed Entertainment,Canada|United States of America,4.846,87,5.8
158,0112642,8839,Casper (1995),Adventure|Children,50000000,287928194,The Harvey Entertainment Company|Universal Pictures|Amblin Entertainment,United States of America,11.408,2081,6.2
159,0112688,20649,Clockers (1995),Crime|Drama|Mystery,25000000,13071518,40 Acres & A Mule Filmworks|Universal Pictures,United States of America,5.771,110,6.9
160,0112715,10329,Congo (1995),Action|Adventure|Mystery|Sci-Fi,50000000,152022101,Paramount|The Kennedy/Marshall Company,United States of America,7.998,343,5.2
161,0112740,8963,Crimson Tide (1995),Drama|Thriller|War,53000000,157387195,Hollywood Pictures|Don Simpson/Jerry Bruckheimer Films,United States of America,7.817,750,7.1
162,0109508,26564,Crumb (1994),Documentary,0,3174695,Superior Pictures|Sony Pictures Classics,United States of America,4.67,107,7.7
163,0112851,8068,Desperado (1995),Action|Romance|Western,7000000,25405445,Los Hooligans Productions|Columbia Pictures,United States of America,7.991,1343,6.8
164,0112857,8512,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,27000000,16140822,Mundy Lane Entertainment|TriStar Pictures|Clinica Estetico,United States of America,7.153,140,6.5
165,0112864,1572,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,90000000,366101666,Cinergi Pictures Entertainment|20th Century Fox,United States of America,15.198,3040,7.1
166,0112887,13552,"Doom Generation, The (1995)",Comedy|Crime|Drama,0,0,Blurco|The Teen Angst Movie Company|Desperate Pictures|Why Not Productions,France|United States of America,7.445,88,6.0
167,0113044,259209,Feast of July (1995),Drama,0,0,Touchstone Pictures|Merchant Ivory Productions,,0.627,1,6.0
168,0113071,6520,First Knight (1995),Action|Drama|Romance,55000000,127600435,First Knight Productions|Columbia Pictures,United States of America,8.393,523,6.0
169,0113114,9073,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,0,0,Alcor Films|Donner/Shuler-Donner Productions|Regency Enterprises|Warner Bros. Pictures|Canal+,France|United States of America,9.572,225,5.6
170,0113243,10428,Hackers (1995),Action|Adventure|Crime|Thriller,20000000,7563728,Suftley|United Artists,United States of America,8.179,579,6.3
171,0113464,17447,Jeffrey (1995),Comedy|Drama,0,0,The Booking Office|Workin' Man Films,United States of America,1.852,23,6.7
172,0113481,9886,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,25000000,19075720,TriStar Pictures|Alliance Communications Corporation,Canada|United States of America,9.016,550,5.6
173,0113492,9482,Judge Dredd (1995),Action|Crime|Sci-Fi,90000000,113493481,Cinergi Pictures Entertainment|Hollywood Pictures,United States of America,10.142,1046,5.5
174,0113500,19326,Jury Duty (1995),Comedy,0,17014653,TriStar Pictures,United States of America,3.015,48,4.2
175,0113540,9344,Kids (1995),Drama,1500000,7412216,Miramax,United States of America,7.3,448,6.8
176,0113677,9071,Living in Oblivion (1995),Comedy,500000,1148752,JDI productions|Lemon Sky Productions|Sony Pictures Classics,United States of America,5.111,97,7.3
177,0113690,8973,Lord of Illusions (1995),Horror,0,0,United Artists|Seraphim Films,United States of America,7.503,126,6.0
178,0107447,15730,Love & Human Remains (1993),Comedy|Drama,0,0,Atlantis Films|First Choice Films|Max Films Productions|The Ontario Film Development Corporation|Société Générale des Industries Culturelles du Québec (SOGIC)|Super Écran|Téléfilm Canada|Sony Pictures Classics,Canada,1.602,14,6.5
179,0113729,47608,Mad Love (1995),Drama|Romance,0,15453274,Touchstone Pictures,United States of America,3.265,44,5.0
180,0113749,2293,Mallrats (1995),Comedy|Romance,6000000,2122561,Universal Pictures|Gramercy Pictures|Alphaville Films|View Askew Productions,United States of America,6.509,564,6.8
181,0113820,9070,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,15000000,66000000,"Saban Entertainment|20th Century Fox|Toei Company, Ltd.",Japan|United States of America,8.851,268,5.3
182,0113851,68274,Moonlight and Valentino (1995),Drama|Romance,0,0,Working Title Films|PolyGram Filmed Entertainment,United Kingdom|United States of America,1.615,21,5.5
